#NN 	 Count 	 V 	 A 	 C 	 G 	 T 	 B 	 L 	 L1 	 P 	 F 	 P1 	 F1 	 Ngal 	 Ngroup 
1 	 813 	 801.9548912840581 	 425.60222359344175 	 73.87904556250089 	 0.0 	 5.6528479892304 	 5.760797535390285 	 5.879107646091686 	 5.879107646091686 	 0.00945793751234205 	 0.010164181654127361 	 0.00945793751234205 	 0.010164181654127361 	 5 	 1
2 	 7029 	 6963.029514094815 	 1843.0585049347274 	 156.9110780076802 	 0.0 	 11.333925909760655 	 11.745878801779162 	 12.486586845400147 	 12.486586845400147 	 0.01784906316007655 	 0.03056676338287536 	 0.01784906316007655 	 0.03056676338287536 	 26 	 2
3 	 3606 	 3578.640131540516 	 1298.229186612751 	 138.92364637578262 	 0.0 	 8.269664944625811 	 9.344911543000359 	 11.055192516528138 	 11.055192516528138 	 0.06104300033156538 	 0.08383687497559304 	 0.06104300033156538 	 0.08383687497559304 	 19 	 3
5 	 28452 	 28243.21139989774 	 6015.996581311757 	 358.6320138811716 	 0.0 	 14.084056241471194 	 16.774845380382256 	 28.539028880094843 	 28.539028880094843 	 0.08719652993110805 	 0.25961548624354425 	 0.08719652993110805 	 0.25961548624354425 	 109 	 17
6 	 6090 	 5847.976257094201 	 1930.6353567583876 	 172.58804122878155 	 1.0 	 9.087127048548178 	 11.186379676209143 	 13.734119940054207 	 6.867059970027103 	 0.10354659685477248 	 0.10223471852796985 	 0.13915262971007392 	 0.10354659685477248 	 18 	 3
7 	 4320 	 4253.646885043246 	 1678.4548769108233 	 193.56382740369065 	 0.0 	 7.6027904179444485 	 8.671325109780405 	 15.403319967541918 	 15.403319967541918 	 0.0656585416279971 	 0.2796300770432904 	 0.0656585416279971 	 0.2796300770432904 	 21 	 4
8 	 1221 	 1093.1107870951132 	 742.0895835359111 	 121.02200038218837 	 0.0 	 4.4190518692635 	 6.131856862325749 	 9.630624791847263 	 9.630624791847263 	 0.16233720114876346 	 0.2219680889268625 	 0.16233720114876346 	 0.2219680889268625 	 6 	 1
9 	 16406 	 16362.79946846105 	 3651.9170746446425 	 242.8738609281018 	 0.0 	 13.441816284987743 	 15.036270517911861 	 19.327287757260475 	 19.327287757260475 	 0.055988811466147106 	 0.1248711558037013 	 0.055988811466147106 	 0.1248711558037013 	 54 	 9
11 	 1422 	 1404.1368407806956 	 631.1654427620456 	 91.20970000570213 	 0.0 	 6.674019578619736 	 6.919937711916465 	 7.2582373069181845 	 7.2582373069181845 	 0.018090253488432854 	 0.023860588161192346 	 0.018090253488432854 	 0.023860588161192346 	 9 	 1
12 	 991 	 916.6183330455078 	 540.0266251083742 	 87.29535453484372 	 0.0 	 5.09207300396471 	 6.186201178584182 	 6.94674359158994 	 6.94674359158994 	 0.09701202124633915 	 0.057911034144680636 	 0.09701202124633915 	 0.057911034144680636 	 7 	 1
