#NN 	 Count 	 V 	 A 	 C 	 G 	 T 	 B 	 L 	 L1 	 P 	 F 	 P1 	 F1 	 Ngal 	 Ngroup 
2 	 1644 	 1624.6859112659224 	 682.2801278651133 	 93.62255209631628 	 0.0 	 7.143777950925998 	 7.287561731528131 	 7.450245975503613 	 7.450245975503613 	 0.009963300966226097 	 0.01103856470442763 	 0.009963300966226097 	 0.01103856470442763 	 6 	 1
3 	 8638 	 8556.233037187876 	 2147.5341610719156 	 171.41529676257164 	 0.0 	 11.952638322061153 	 12.528252738415045 	 13.64079590066372 	 13.64079590066372 	 0.023512804943738634 	 0.04251370302347531 	 0.023512804943738634 	 0.04251370302347531 	 28 	 3
4 	 574 	 566.1735850985092 	 334.00916823331534 	 65.08741248450289 	 0.0 	 5.085251893771551 	 5.131701437860076 	 5.179491714984888 	 5.179491714984888 	 0.004546320471555537 	 0.0046347960334373285 	 0.004546320471555537 	 0.0046347960334373285 	 4 	 1
5 	 5634 	 5584.660531921435 	 1731.653935855098 	 158.9463727163312 	 0.0 	 9.675132686076283 	 10.894579764620048 	 12.64855045216544 	 12.64855045216544 	 0.0592836230193623 	 0.07450031798638518 	 0.0592836230193623 	 0.07450031798638518 	 26 	 4
6 	 34116 	 33886.462735394634 	 6887.28033629522 	 407.4056624362884 	 0.0 	 14.760454525199151 	 16.905215050545053 	 32.4203125101817 	 32.4203125101817 	 0.0677314124122858 	 0.31454498769496897 	 0.0677314124122858 	 0.31454498769496897 	 116 	 18
7 	 7242 	 6948.064449872202 	 2213.0350514817396 	 190.39112646980973 	 0.0 	 9.418826572882502 	 11.62362496884885 	 15.150844449252208 	 15.150844449252208 	 0.10477858968066509 	 0.13173816538895664 	 0.10477858968066509 	 0.13173816538895664 	 20 	 3
8 	 7162 	 7119.159906594506 	 2294.662543398426 	 213.95556072391275 	 0.0 	 9.307459949275506 	 10.72494931019553 	 17.026042545604447 	 17.026042545604447 	 0.07075980440295046 	 0.22705830725441203 	 0.07075980440295046 	 0.22705830725441203 	 23 	 4
11 	 2191 	 2034.8820215211506 	 1091.7612119892974 	 144.8603826588577 	 1.0 	 5.591557931830331 	 7.536644539731513 	 11.52762297917034 	 5.76381148958517 	 0.14816092394328967 	 0.20934339257890971 	 0.015169348645758718 	 0.1332911477800978 	 7 	 1
12 	 402 	 389.6591634938546 	 271.6893503352442 	 60.41360175409692 	 0.0 	 4.302625366210098 	 4.497155316796183 	 4.807561674574862 	 4.807561674574862 	 0.02210622714288239 	 0.03336010735915364 	 0.02210622714288239 	 0.03336010735915364 	 6 	 2
13 	 20077 	 20035.327070306703 	 4193.103273014152 	 260.7877998025742 	 0.0 	 14.334486249777909 	 16.078602128583018 	 20.75283371831965 	 20.75283371831965 	 0.05734754251548018 	 0.1269087528698589 	 0.05734754251548018 	 0.1269087528698589 	 56 	 9
14 	 2494 	 2469.290340656832 	 929.3326953092404 	 111.46211279121488 	 0.0 	 7.971172282392892 	 8.33765547805485 	 8.869873109094112 	 8.869873109094112 	 0.02247146153267713 	 0.030929347485538113 	 0.02247146153267713 	 0.030929347485538113 	 9 	 1
16 	 1373 	 1276.5028637514233 	 671.2159249835726 	 96.32847487133404 	 0.0 	 5.705330354532327 	 6.967990782373704 	 7.66557646813812 	 7.66557646813812 	 0.09963137635362038 	 0.04767024156328097 	 0.09963137635362038 	 0.04767024156328097 	 7 	 1
17 	 2726 	 2704.1938642804894 	 961.008379931012 	 111.18398382209676 	 0.0 	 8.441738659369284 	 8.64340660313721 	 8.847740308968012 	 8.847740308968012 	 0.011803700856467907 	 0.01168212163888391 	 0.011803700856467907 	 0.01168212163888391 	 10 	 2
18 	 2018 	 1977.2470766714298 	 902.8213599507222 	 132.28004892187502 	 0.0 	 6.570226949812149 	 6.8250757941882165 	 10.526511829177075 	 10.526511829177075 	 0.0190252396117148 	 0.2133197327721517 	 0.0190252396117148 	 0.2133197327721517 	 9 	 2
19 	 7551 	 7508.7777679377405 	 2133.9713106615222 	 182.97070464330304 	 0.0 	 10.556061926076294 	 11.662912458153603 	 14.560346042494443 	 14.560346042494443 	 0.049815554621769786 	 0.11049098205202977 	 0.049815554621769786 	 0.11049098205202977 	 38 	 5
20 	 1005 	 993.4957479678645 	 491.2442053718065 	 79.40536710067376 	 0.0 	 6.067221172914928 	 6.1865365441732 	 6.318878341049396 	 6.318878341049396 	 0.009737043445202492 	 0.01058275939589827 	 0.009737043445202492 	 0.01058275939589827 	 6 	 2
21 	 1562 	 1536.9167299079813 	 660.9147710274993 	 92.41053634411092 	 0.0 	 6.976315845620735 	 7.151941728445749 	 7.35379682646925 	 7.35379682646925 	 0.012430823964264998 	 0.013915533997757502 	 0.012430823964264998 	 0.013915533997757502 	 8 	 1
22 	 12320 	 12234.37657988724 	 3386.248962282642 	 302.84811199894926 	 0.0 	 10.838875153148942 	 11.181344139581068 	 24.099887015340357 	 24.099887015340357 	 0.015552478468967467 	 0.36615907248342333 	 0.015552478468967467 	 0.36615907248342333 	 49 	 10
23 	 5947 	 5923.572406310543 	 1608.3519552133282 	 143.58740994939666 	 0.0 	 11.04902267276105 	 11.201204588759882 	 11.426323029604436 	 11.426323029604436 	 0.006839566814762969 	 0.009948874867877726 	 0.006839566814762969 	 0.009948874867877726 	 16 	 3
24 	 2002 	 1983.7898297797224 	 808.0376140531048 	 104.5202126550117 	 0.0 	 7.365213432933135 	 7.730922024816218 	 8.317454248530593 	 8.317454248530593 	 0.02422531202814242 	 0.036547761201766525 	 0.02422531202814242 	 0.036547761201766525 	 17 	 3
25 	 6205 	 6180.238559563706 	 1704.4175269030036 	 150.2245776595794 	 0.0 	 10.878036271065787 	 11.345796762799669 	 11.954492054207186 	 11.954492054207186 	 0.021047696453671716 	 0.026123937612448463 	 0.021047696453671716 	 0.026123937612448463 	 30 	 3
26 	 850 	 836.4573643816321 	 485.0214623883322 	 85.80792963370652 	 0.0 	 5.173734128770922 	 5.652408401633422 	 6.82837807884296 	 6.82837807884296 	 0.04421466570555317 	 0.09422240169312252 	 0.04421466570555317 	 0.09422240169312252 	 7 	 1
